n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
6,307.413,385.63257,308.3033,387.98038,307.16034,389.79068,303.51016,389.17026,303.27448,388.5713,304.58026,385.4638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,717.16095,344.37598,714.5161,339.8463,717.8587,338.02414,719.4906,338.64612,720.37427,344.23755,719.6154,344.77292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,92.77663,356.17596,94.55542,353.8513,94.463806,353.10486,93.304375,351.80133,90.21783,351.97238,88.8315,354.0326,89.53847,355.38635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,137.83199,436.6666,144.00261,436.82828,145.47023,443.11035,137.51588,445.6165,135.14021,443.15366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,817.781,206.32498,820.2978,210.74173,817.7574,214.17001,816.18524,214.51279,812.597,212.56575,811.8143,209.74925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,752.71606,221.6926,752.73456,217.65671,751.3008,216.62338,748.42645,218.67705,748.852,222.73688,750.313,222.94496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,758.67535,245.44249,760.8695,246.51743,761.29846,250.57368,759.89435,251.56319,756.0423,249.8811,755.7628,249.0364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,662.1634,344.6169,660.353,344.40195,657.95746,341.843,659.6545,338.7893,661.0906,338.16446,665.34784,340.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,426.5675,247.16753,428.50555,250.12186,425.49258,253.35417,424.63144,253.63736,423.1013,246.99321,423.31354,246.83243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,3128.8557,-5088.921,4295.424,-4059.1096,866.79614,118.77195,851.5183,124.31825,828.9605,118.75044,827.5211,117.16941,821.03894,94.38242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,504.1149,136.66328,504.05875,136.7073,503.21344,136.62384,498.21326,132.86147,498.61398,129.62962,503.36813,128.47537,505.24612,134.31906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,663.29553,267.45206,664.0471,266.39987,661.20105,262.15228,660.7376,262.29785,658.31445,266.3679,658.56525,266.984,660.72095,268.25345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,277.3049,480.6645,275.8017,482.52426,275.7276,483.39517,278.0843,486.08023,282.889,484.5383,283.20273,483.36066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,553.19214,121.8426,553.21606,125.8272,545.3959,129.17354,542.66925,126.92764,543.09735,120.228546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,223.64177,258.76752,224.76607,256.79034,226.3168,256.24478,228.90105,259.41687,227.0766,262.0888,225.82346,261.92902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,633.6673,224.79088,634.64215,227.66528,631.3741,229.16583,628.2407,226.13928,629.4727,224.33833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,637.2903,240.98856,633.9538,241.69885,632.0151,240.1304,631.8615,238.19696,635.23254,236.43732,635.35693,236.47832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,666.51746,301.2098,665.343,298.2016,661.1152,298.26807,660.40686,300.10843,661.4828,302.59317,665.9999,302.28644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,229.41644,477.96823,231.9729,477.0343,234.93817,480.1075,233.9812,481.5321,230.0324,481.76596,229.68102,481.4435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,235.38388,445.66666,233.84972,449.41296,234.06902,449.8341,237.88936,450.89432,238.87355,448.44214,237.53545,445.7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,259.21378,386.6119,258.47354,386.50415,256.11414,384.5624,256.01987,383.57205,258.39926,381.06543,260.3995,382.67407,259.39517,386.46133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,238.08614,320.69635,236.6598,321.5349,236.04906,325.36398,236.41336,325.85718,237.6131,326.18494,241.62569,323.77762,241.71051,323.33704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,540.19165,267.23938,536.566,265.12234,537.59515,262.66284,540.718,261.75012,542.7035,264.29874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,514.899,279.2764,513.7507,274.43036,511.0873,274.6481,509.55075,277.3852,509.73102,278.3299,514.6567,279.51553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,212.79889,308.58438,216.90974,308.52872,217.58122,309.62448,216.4031,312.453,214.25388,313.2413,213.82098,312.9799,212.42094,309.66962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,554.92395,157.99014,555.7639,153.04901,558.3928,151.81668,559.33984,151.95854,560.6865,156.98502,558.34985,159.56808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,421.37146,452.70483,423.11133,448.79733,425.8139,449.5491,426.49774,452.02853,423.24405,453.79773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,282.12338,456.09232,285.03934,453.69568,287.01337,454.37405,287.60007,455.45132,286.82788,457.6201,282.74048,458.29544,282.5436,458.11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,736.8245,214.39859,733.7809,213.10788,731.4454,214.22159,732.23364,218.41936,733.42633,219.33577,735.73004,218.76224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
